Table 12,,, ,,,,,,,,,,,,,,
Crime Trends,,, ,,,,,,, ,, ,,,,,
"by Population Group, 2014Ð2015",,,,,,,,,,,,,,,,,
Population group,,"Violent crime","Murder and nonnegligent manslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson,"Number of agencies","2015 estimated population", ,, 
,Percent change,+5.3 ,+11.2 ,+7.9 ,+16.4 ,+1.3 ,+6.9 ,-0.2  ,-6.6  ,+0.6 ,+7.6 ,-6.7  ,,,,,
"GROUP III (50,000 to 99,999)",2014,"108,643","1,116","8,527",641,"30,670","67,689","896,590","169,982","656,450","70,158","4,358",,,,,
,2015,"111,117","1,243","8,772",729,"30,638","69,735","891,484","157,891","657,274","76,319","4,142",481,"33,490,047",,,
,Percent change,+2.3 ,+11.4 ,+2.9 ,+13.7 ,-0.1  ,+3.0 ,-0.6  ,-7.1  ,+0.1 ,+8.8 ,-5.0  ,,,,,
"GROUP IV (25,000 to 49,999)",2014,"83,487",915,"7,803",763,"21,487","52,519","772,777","141,808","585,795","45,174","3,728",,,,,
,2015,"86,591","1,013","8,325",841,"21,376","55,036","753,094","131,479","574,041","47,574","3,476",861,"29,777,604",,,
,Percent change,+3.7 ,+10.7 ,+6.7 ,+10.2 ,-0.5  ,+4.8 ,-2.5  ,-7.3  ,-2.0  ,+5.3 ,-6.8  ,,,,,
"GROUP V (10,000 to 24,999)",2014,"74,277",731,"7,206",793,"15,606","49,941","731,328","134,348","560,627","36,353","3,183",,,,,
,2015,"76,808",834,"7,693",767,"15,685","51,829","704,558","122,779","544,020","37,759","3,044","1,805","28,863,408",,,
,Percent change,+3.4 ,+14.1 ,+6.8 ,-3.3  ,+0.5 ,+3.8 ,-3.7  ,-8.6  ,-3.0  ,+3.9 ,-4.4  ,, ,,,
"GROUP VI (under 10,000)",2014,"64,463",584,"6,981",867,"9,597","46,434","639,760","112,597","499,136","28,027","4,248",,,,,
,2015,"66,076",627,"7,147",868,"9,551","47,883","607,752","103,820","475,374","28,558","3,965","7,679","23,271,996",,,
,Percent change,+2.5 ,+7.4 ,+2.4 ,+0.1 ,-0.5  ,+3.1 ,-5.0  ,-7.8  ,-4.8  ,+1.9 ,-6.7  ,,,,,
METROPOLITAN COUNTIES,2014,"179,958","2,340","16,116","1,802","35,727","123,973","1,300,465","329,479","861,902","109,084","7,564",,,,,
,2015,"185,888","2,476","17,206","1,842","36,195","128,169","1,247,681","298,050","838,438","111,193","7,379","1,946","73,347,881",,,
,Percent change,+3.3 ,+5.8 ,+6.8 ,+2.2 ,+1.3 ,+3.4 ,-4.1  ,-9.5  ,-2.7  ,+1.9 ,-2.4  ,,,,,
NONMETROPOLITAN COUNTIES3,2014,"44,372",741,"6,848",531,"2,692","33,560","326,963","107,128","197,525","22,310","2,747",,,,,
,2015,"45,428",854,"6,752",621,"2,634","34,567","303,952","98,914","182,807","22,231","2,440","2,477","25,082,705",,,
,Percent change,+2.4 ,+15.2 ,-1.4  ,+16.9 ,-2.2  ,+3.0 ,-7.0  ,-7.7  ,-7.5  ,-0.4  ,-11.2  ,,,,,
SUBURBAN AREAS4,2014,"313,352","3,670","28,816","3,001","67,667","210,198","2,680,468","566,379","1,928,061","186,028","14,074",,,,,
,2015,"323,844","3,900","30,758","3,048","68,209","217,929","2,582,715","514,887","1,875,964","191,864","13,388","8,480","132,726,573",,,
,Percent change,+3.3 ,+6.3 ,+6.7 ,+1.6 ,+0.8 ,+3.7 ,-3.6  ,-9.1  ,-2.7  ,+3.1 ,-4.9  ,,,,,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,,,,,
3 Includes state police agencies that report aggregately for the entire state. ,,,,,,,,,,,,,,,,,
"4 Suburban areas include law enforcement agencies in cities with less than 50,000 inhabitants and county law enforcement agencies that are within a Metropolitan Statistical Area. Suburban areas exclude all metropolitan agencies associated with a principal city. The agencies associated with suburban areas also appear in other groups within this table.  ",,,,,,,,,,,,,,,,,
"NOTE:  No agencies over 1,000,000 in population submitted rape data using the legacy UCR definition in 2015; therefore, the UCR Program could not provide a 2-year comparison for this agency group size.",,,,,,,,,,,,,,,,,
