Table 11,,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,,
"by State by State, Tribal, and Other Agencies, 2015",,,,,,,,,,,,,,
State,State/Tribal/Other Agencies,Unit/Office,"Violent crime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson3,
,,Calaveras County4,1,0,0,,0,1,2,2,0,0,0,
,,Capital,0,0,0,,0,0,7,2,5,0,1,
,,Channel Coast,0,0,0,,0,0,16,3,13,0,0,
,,Colorado,0,0,0,,0,0,0,0,0,0,0,
,,Four Rivers District,0,0,0,,0,0,1,0,1,0,0,
,,Gold Fields District,0,0,0,,0,0,54,0,51,3,0,
,,Hollister Hills,1,0,0,,0,1,0,0,0,0,0,
,,Hungry Valley,0,0,0,,0,0,0,0,0,0,0,
,,Inland Empire,0,0,0,,0,0,7,0,6,1,0,
,,Marin County,1,0,0,,0,1,13,8,5,0,0,
,,Mendocino Headquarters,1,0,0,,0,1,6,1,5,0,0,
,,Monterey County,0,0,0,,0,0,91,64,27,0,0,
,,North Coast Redwoods4,0,0,0,,0,0,46,0,46,0,0,
,,Northern Buttes4,2,0,0,,0,2,16,1,14,1,0,
,,Oceano Dunes4,5,0,0,,0,5,79,3,71,5,5,
,,Ocotillo Wells,0,0,0,,0,0,2,0,0,2,0,
,,Orange Coast4,0,0,0,,0,0,67,32,34,1,0,
,,Russian River,1,0,0,,0,1,30,0,30,0,0,
,,San Diego Coast,0,0,0,,0,0,33,13,18,2,0,
,,San Joaquin,2,0,0,,0,2,9,2,7,0,0,
,,San Luis Obispo Coast4,0,0,0,,0,0,14,1,12,1,0,
,,Santa Cruz Mountains,3,0,0,,0,3,68,17,51,0,0,
,,Sierra,0,0,0,,0,0,5,0,4,1,0,
,,Silverado,0,0,0,,0,0,0,0,0,0,0,
,,Tehachapi District4,2,0,0,,0,2,8,5,2,1,0,
,,Twin Cities,0,0,0,,0,0,0,0,0,0,0,
,Fairview Developmental Center4,,3,0,0,,0,3,7,2,4,1,0,
,Highway Patrol: ,Alameda County4,1,0,0,,0,1,223,0,51,172,0,
,,Alpine County4,0,0,0,,0,0,0,0,0,0,0,
,,Amador County4,0,0,0,,0,0,40,0,5,35,0,
,,Butte County4,0,0,0,,0,0,323,0,65,258,0,
,,Calaveras County4,0,0,0,,0,0,93,0,8,85,0,
,,Colusa County4,0,0,0,,0,0,11,0,0,11,0,
,,Contra Costa County4,1,0,0,,0,1,697,0,1,696,0,
,,Del Norte County4,0,0,0,,0,0,60,2,0,58,0,
,,El Dorado County4,0,0,0,,0,0,250,0,141,109,0,
,,Fresno County4,0,0,0,,0,0,212,0,21,191,0,
,,Glenn County4,0,0,0,,0,0,40,0,9,31,0,
,,Humboldt County4,0,0,0,,0,0,328,0,60,268,0,
,,Imperial County4,0,0,0,,0,0,56,0,7,49,0,
,,Inyo County4,1,0,0,,0,1,28,0,6,22,0,
,,Kern County4,2,0,0,,0,2,216,0,17,199,0,
,,Kings County4,0,0,0,,0,0,111,0,14,97,0,
,,Lake County4,0,0,0,,0,0,198,0,28,170,0,
,,Lassen County4,0,0,0,,0,0,29,0,9,20,0,
,,Los Angeles County4,48,0,0,,5,43,797,4,64,729,0,
,,Madera County4,0,0,0,,0,0,200,1,43,156,0,
,,Marin County4,0,0,0,,0,0,99,0,14,85,0,
,,Mariposa County4,0,0,0,,0,0,15,0,4,11,0,
,,Mendocino County4,1,0,0,,0,1,151,0,14,137,0,
,,Merced County4,1,0,0,,0,1,450,0,87,363,0,
,,Modoc County4,0,0,0,,0,0,7,0,0,7,0,
,,Mono County4,1,0,0,,0,1,0,0,0,0,0,
,,Monterey County4,0,0,0,,0,0,389,2,32,355,0,
,,Napa County4,0,0,0,,0,0,36,0,10,26,0,
,,Nevada County4,1,0,0,,0,1,63,1,3,59,0,
,,Orange County4,5,0,0,,0,5,43,0,22,21,0,
,,Placer County4,0,0,0,,0,0,147,0,65,82,0,
,,Plumas County4,0,0,0,,0,0,23,0,7,16,0,
,,Riverside County4,19,0,1,,1,17,103,3,26,74,0,
,,Sacramento County4,4,0,0,,0,4,"4,408",1,"1,244","3,163",0,
,,San Benito County4,0,0,0,,0,0,22,0,1,21,0,
,,San Bernardino County4,6,0,0,,2,4,77,8,21,48,0,
,,San Diego County4,12,0,0,,0,12,101,3,32,66,0,
,,San Francisco County4,0,0,0,,0,0,31,0,0,31,0,
,,San Joaquin County4,3,0,0,,0,3,746,0,145,601,0,
,,San Luis Obispo County4,2,0,0,,0,2,174,0,1,173,0,
,,San Mateo County4,0,0,0,,0,0,13,0,7,6,0,
,,Santa Barbara County4,1,0,0,,0,1,171,0,64,107,0,
,,Santa Clara County4,1,0,0,,0,1,94,0,19,75,0,
,,Santa Cruz County4,0,0,0,,0,0,483,0,94,389,0,
,,Shasta County4,1,0,0,,1,0,239,0,34,205,0,
,,Sierra County4,0,0,0,,0,0,2,0,0,2,0,
,,Siskiyou County4,0,0,0,,0,0,55,0,8,47,0,
,,Solano County4,0,0,0,,0,0,81,1,2,78,0,
,,Sonoma County4,0,0,0,,0,0,359,0,107,252,0,
,,Stanislaus County4,0,0,0,,0,0,707,0,75,632,0,
,,Sutter County4,0,0,0,,0,0,37,0,0,37,0,
,,Tehama County4,0,0,0,,0,0,164,0,20,144,0,
,,Trinity County4,0,0,0,,0,0,57,2,1,54,0,
,,Tulare County4,0,0,0,,0,0,514,0,37,477,0,
,,Tuolumne County4,0,0,0,,0,0,166,0,83,83,0,
,,Ventura County4,1,0,0,,0,1,56,0,17,39,0,
,,Yolo County4,0,0,0,,0,0,56,0,9,47,0,
,,Yuba County4,0,0,0,,0,0,254,0,14,240,0,
,Napa State Hospital4,,125,0,1,,0,124,7,3,4,0,0,
,Patton State Hospital4,,566,0,7,,0,559,9,4,5,0,0,
,Porterville Developmental Center4,,10,0,1,,0,9,14,4,10,0,0,
,Sonoma Developmental Center,,6,0,0,,0,6,2,0,2,0,0,
CALIFORNIAÐTribal Agencies,Coyote Valley Tribal,,2,0,0,,0,2,0,0,0,0,0,
,La Jolla Tribal,,5,0,0,,4,1,8,2,6,0,0,
,Los Coyotes Tribal,,7,0,0,,0,7,6,5,1,0,0,
,Sycuan Tribal,,10,0,0,,2,8,45,7,19,19,,
,Table Mountain Rancheria,,3,0,0,,2,1,40,2,37,1,0,
,Tule River Tribal,,12,0,0,,2,10,23,9,9,5,0,
,Yurok Tribal,,9,0,1,,6,2,26,9,13,4,,
CALIFORNIAÐOther Agencies,East Bay Municipal Utility4,,1,0,0,,1,0,50,1,49,0,0,
,East Bay Regional Parks:,Alameda County4,9,2,3,,2,2,195,0,188,7,5,
,,Contra Costa County,10,0,1,,6,3,142,0,138,4,1,
,Fontana Unified School District,,24,0,0,,8,16,101,32,64,5,2,
,Los Angeles County Metropolitan Transportation Authority,,5,0,0,,1,4,44,2,42,0,0,
,Los Angeles Transportation Services Bureau,,803,3,8,,387,405,"1,088",11,939,138,6,
,Monterey Peninsula Airport,,0,0,0,,0,0,9,5,0,4,0,
,Port of San Diego Harbor4,,87,1,2,,10,74,569,53,513,3,2,
,San Bernardino Unified School District,,69,0,3,,60,6,362,134,201,27,3,
,San Francisco Bay Area Rapid Transit: ,Alameda County,135,1,1,,95,38,"1,648",3,"1,294",351,2,
,,Contra Costa County,49,0,2,,37,10,886,0,641,245,7,
,,San Francisco County,38,0,0,,25,13,207,1,204,2,0,
,,San Mateo County,12,0,1,,2,9,217,0,170,47,0,
,Santa Clara Transit District,,39,0,1,,24,14,107,2,78,27,0,
,Shasta County Marshal4,,0,0,0,,0,0,0,0,0,0,0,
,Stockton Unified School District,,15,0,0,,5,10,269,101,164,4,8,
,Twin Rivers Unified School District,,24,0,1,,6,17,148,74,66,8,0,
,Union Pacific Railroad: ,Alameda County4,0,0,0,,0,0,18,16,2,0,0,
,,Amador County4,0,0,0,,0,0,2,1,1,0,0,
,,Butte County4,0,0,0,,0,0,6,0,6,0,0,
,,Calaveras County4,0,0,0,,0,0,0,0,0,0,0,
,,Colusa County4,0,0,0,,0,0,0,0,0,0,0,
,,Contra Costa County4,1,0,0,,0,1,5,2,3,0,0,
,,El Dorado County4,0,0,0,,0,0,0,0,0,0,0,
,,Fresno County4,0,0,0,,0,0,1,1,0,0,0,
,,Glenn County4,0,0,0,,0,0,0,0,0,0,0,
,,Humboldt County4,0,0,0,,0,0,0,0,0,0,0,
,,Imperial County4,0,0,0,,0,0,5,2,3,0,0,
,,Inyo County4,0,0,0,,0,0,0,0,0,0,0,
,,Kern County4,1,0,0,,0,1,7,3,4,0,0,
,,Kings County4,0,0,0,,0,0,0,0,0,0,0,
,,Lassen County4,0,0,0,,0,0,2,0,2,0,0,
,,Los Angeles County4,0,0,0,,0,0,283,178,105,0,0,
,,Madera County4,0,0,0,,0,0,0,0,0,0,0,
,,Marin County4,0,0,0,,0,0,0,0,0,0,0,
,,Mendocino County4,0,0,0,,0,0,0,0,0,0,0,
,,Merced County4,0,0,0,,0,0,0,0,0,0,0,
,,Modoc County4,0,0,0,,0,0,0,0,0,0,0,
,,Monterey County4,0,0,0,,0,0,2,0,2,0,0,
,,Napa County4,0,0,0,,0,0,0,0,0,0,0,
,,Nevada County4,0,0,0,,0,0,2,0,2,0,0,
,,Orange County4,0,0,0,,0,0,3,0,3,0,0,
,,Placer County4,0,0,0,,0,0,12,4,8,0,2,
,,Plumas County4,0,0,0,,0,0,4,0,4,0,0,
,,Riverside County4,2,0,0,,0,2,20,2,18,0,1,
,,Sacramento County4,0,0,0,,0,0,13,2,11,0,0,
,,San Benito County4,0,0,0,,0,0,0,0,0,0,0,
,,San Bernardino County4,1,0,0,,0,1,45,10,35,0,1,
,,San Francisco County4,0,0,0,,0,0,1,0,1,0,0,
,,San Joaquin County4,0,0,0,,0,0,84,56,28,0,0,
,,San Luis Obispo County4,0,0,0,,0,0,1,0,1,0,0,
,,San Mateo County4,0,0,0,,0,0,0,0,0,0,0,
,,Santa Barbara County4,0,0,0,,0,0,2,0,2,0,0,
,,Santa Clara County4,0,0,0,,0,0,3,1,2,0,0,
,,Santa Cruz County4,0,0,0,,0,0,0,0,0,0,0,
,,Shasta County4,0,0,0,,0,0,11,0,11,0,0,
,,Sierra County4,0,0,0,,0,0,0,0,0,0,0,
,,Siskiyou County4,0,0,0,,0,0,1,0,1,0,0,
,,Solano County4,0,0,0,,0,0,3,0,3,0,0,
,,Sonoma County4,0,0,0,,0,0,0,0,0,0,0,
,,Stanislaus County4,0,0,0,,0,0,6,1,5,0,0,
,,Sutter County4,0,0,0,,0,0,0,0,0,0,0,
,,Tehama County4,0,0,0,,0,0,1,0,1,0,0,
,,Trinity County4,0,0,0,,0,0,0,0,0,0,0,
,,Tulare County4,0,0,0,,0,0,2,1,1,0,0,
,,Ventura County4,2,0,0,,0,2,0,0,0,0,0,
,,Yolo County4,0,0,0,,0,0,1,0,1,0,0,
,,Yuba County4,0,0,0,,0,0,0,0,0,0,0,
COLORADOÑState Agencies,Colorado Bureau of Investigation,,0,0,0,,0,0,0,0,0,0,0,
,Colorado Mental Health Institute,,1,0,0,,0,1,4,0,4,0,0,
,Colorado State Patrol,,16,0,0,,0,16,23,0,4,19,0,
COLORADOÑTribal Agencies,Southern Ute Tribal,,9,0,1,,0,8,16,0,15,1,1,
COLORADOÐOther Agencies,All Crimes Enforcement Team,,0,0,0,,0,0,0,0,0,0,0,
,Southwest Drug Task Force,,0,0,0,,0,0,0,0,0,0,0,
CONNECTICUTÐState Agencies,Connecticut State Police,,294,14,56,,46,178,"3,137",734,"2,078",325,34,
,State Capitol Police,,0,0,0,,0,0,3,0,2,1,0,
CONNECTICUTÐTribal Agencies,Mashantucket Pequot Tribal,,21,0,1,,2,18,129,1,124,4,0,
,Mohegan Tribal,,24,0,2,,8,14,294,1,289,4,0,
CONNECTICUTÐOther Agencies,Metropolitan Transportation Authority,,2,0,0,,0,2,78,0,77,1,0,
DELAWAREÐState Agencies,Alcohol and Tobacco Enforcement,,0,0,0,,0,0,1,0,1,0,0,
,Attorney General:,Kent County,0,0,0,,0,0,1,0,1,0,0,
,,New Castle County,0,0,0,,0,0,0,0,0,0,0,
,,Sussex County,0,0,0,,0,0,0,0,0,0,0,
,Environmental Control,,4,0,0,,0,4,0,0,0,0,0,
,Fish and Wildlife,,4,0,0,,0,4,20,0,19,1,1,
,Park Rangers,,1,0,1,,0,0,62,15,47,0,0,
,River and Bay Authority,,2,0,0,,1,1,15,4,8,3,0,
,State Capitol Police,,2,0,0,,0,2,20,0,19,1,0,
,State Fire Marshal,,22,0,0,,0,22,15,14,1,0,133,
,State Police,,0,0,0,,0,0,1,1,0,0,0,
,State Police: ,Kent County,322,4,48,,38,232,"1,358",380,926,52,1,
,,New Castle County,624,9,36,,274,305,"5,869",579,"5,150",140,0,
,,Sussex County,457,3,52,,43,359,"3,363","1,117","2,140",106,0,
DELAWAREÐOther Agencies,Amtrak Police,,0,0,0,,0,0,1,0,1,0,0,
,Dover Fire Marshal,,0,0,0,,0,0,0,0,0,0,6,
,Drug Enforcement Administration,Wilmington Resident Office,0,0,0,,0,0,0,0,0,0,0,
,Wilmington Fire Department,,1,0,0,,0,1,0,0,0,0,7,
DISTRICT OF COLUMBIAÐOther Agencies,District of Columbia Fire and Emergency Medical Services,Arson Investigation Unit,0,0,0,,0,0,0,0,0,0,238,
,Metro Transit Police,,447,0,0,,338,109,"1,076",0,"1,006",70,1,
FLORIDAÐState Agencies,Capitol Police,,0,0,0,,0,0,33,1,32,0,0,
,"Department of Corrections, Office of the Inspector General:",Alachua County,0,0,0,,0,0,0,0,0,0,0,
,,Baker County,0,0,0,,0,0,0,0,0,0,0,
,,Bay County,0,0,0,,0,0,0,0,0,0,0,
,,Bradford County,0,0,0,,0,0,0,0,0,0,0,
,,Brevard County,0,0,0,,0,0,0,0,0,0,0,
,,Broward County,0,0,0,,0,0,0,0,0,0,0,
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0,
,,Charlotte County,0,0,0,,0,0,0,0,0,0,0,
,,Citrus County,0,0,0,,0,0,0,0,0,0,0,
,,Clay County,0,0,0,,0,0,0,0,0,0,0,
,,Collier County,0,0,0,,0,0,0,0,0,0,0,
,,Columbia County,0,0,0,,0,0,0,0,0,0,0,
,,DeSoto County,0,0,0,,0,0,0,0,0,0,0,
,,Dixie County,0,0,0,,0,0,0,0,0,0,0,
,,Duval County,0,0,0,,0,0,0,0,0,0,0,
,,Escambia County,0,0,0,,0,0,0,0,0,0,0,
,,Flagler County,0,0,0,,0,0,0,0,0,0,0,
,,Franklin County,0,0,0,,0,0,0,0,0,0,0,
,,Gadsden County,0,0,0,,0,0,0,0,0,0,0,
,,Gilchrist County,0,0,0,,0,0,0,0,0,0,0,
,,Glades County,0,0,0,,0,0,0,0,0,0,0,
,,Gulf County,0,0,0,,0,0,0,0,0,0,0,
,,Hamilton County,0,0,0,,0,0,0,0,0,0,0,
,,Hardee County,0,0,0,,0,0,0,0,0,0,0,
,,Hendry County,0,0,0,,0,0,0,0,0,0,0,
,,Hernando County,0,0,0,,0,0,0,0,0,0,0,
,,Highlands County,0,0,0,,0,0,0,0,0,0,0,
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0,
,,Holmes County,0,0,0,,0,0,0,0,0,0,0,
,,Indian River County,0,0,0,,0,0,0,0,0,0,0,
,,Jackson County,0,0,0,,0,0,0,0,0,0,0,
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0,
,,Lafayette County,0,0,0,,0,0,0,0,0,0,0,
,,Lake County,0,0,0,,0,0,0,0,0,0,0,
,,Lee County,0,0,0,,0,0,0,0,0,0,0,
,,Leon County,0,0,0,,0,0,0,0,0,0,0,
,,Levy County,0,0,0,,0,0,0,0,0,0,0,
,,Liberty County,0,0,0,,0,0,0,0,0,0,0,
,,Madison County,0,0,0,,0,0,0,0,0,0,0,
,,Manatee County,0,0,0,,0,0,0,0,0,0,0,
,,Marion County,0,0,0,,0,0,0,0,0,0,0,
,,Martin County,0,0,0,,0,0,0,0,0,0,0,
,,Miami-Dade County,0,0,0,,0,0,0,0,0,0,0,
,,Monroe County,0,0,0,,0,0,0,0,0,0,0,
,,Nassau County,0,0,0,,0,0,0,0,0,0,0,
,,Okaloosa County,0,0,0,,0,0,0,0,0,0,0,
,,Okeechobee County,0,0,0,,0,0,0,0,0,0,0,
,,Orange County,0,0,0,,0,0,0,0,0,0,0,
,,Oseola County,0,0,0,,0,0,0,0,0,0,0,
,,Palm Beach County,0,0,0,,0,0,0,0,0,0,0,
,,Pasco County,0,0,0,,0,0,0,0,0,0,0,
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0,
,,Polk County,0,0,0,,0,0,0,0,0,0,0,
,,Putnam County,0,0,0,,0,0,0,0,0,0,0,
,,Santa Rosa County,0,0,0,,0,0,0,0,0,0,0,
,,Sarasota County,0,0,0,,0,0,0,0,0,0,0,
,,Seminole County,0,0,0,,0,0,0,0,0,0,0,
,,St. Johns County,0,0,0,,0,0,0,0,0,0,0,
,,St. Lucie County,0,0,0,,0,0,0,0,0,0,0,
,,Sumter County,0,0,0,,0,0,0,0,0,0,0,
,,Suwannee County,0,0,0,,0,0,0,0,0,0,0,
,,Taylor County,0,0,0,,0,0,0,0,0,0,0,
,,Union County,0,0,0,,0,0,0,0,0,0,0,
,,Volusia County,0,0,0,,0,0,0,0,0,0,0,
,,Wakulla County,0,0,0,,0,0,0,0,0,0,0,
,,Walton County,0,0,0,,0,0,0,0,0,0,0,
,,Washington County,0,0,0,,0,0,0,0,0,0,0,
,Department of Insurance:,Broward County,0,0,0,,0,0,0,0,0,0,0,
,,Duval County,0,0,0,,0,0,0,0,0,0,0,
,,Escambia County,0,0,0,,0,0,0,0,0,0,0,
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0,
,,Lee County,0,0,0,,0,0,0,0,0,0,0,
,,Miami-Dade County,0,0,0,,0,0,0,0,0,0,0,
,,Orange County,0,0,0,,0,0,0,0,0,0,0,
,,Palm Beach County,0,0,0,,0,0,0,0,0,0,0,
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0,
,Department of Law Enforcement: ,"Duval County, Jacksonville",3,0,2,,0,1,0,0,0,0,0,
,,"Escambia County, Pensacola",0,0,0,,0,0,0,0,0,0,0,
,,"Hillsborough County, Tampa",1,0,0,,0,1,3,0,3,0,0,
,,"Lee County, Fort Myers",0,0,0,,0,0,0,0,0,0,0,
,,"Leon County, Tallahassee",12,4,0,,0,8,1,0,1,0,0,
,,"Miami-Dade County, Miami",0,0,0,,0,0,0,0,0,0,0,
,,"Orange County, Orlando",1,0,0,,0,1,4,0,4,0,0,
,Division of Alcoholic Beverages and Tobacco:,Alachua County,0,0,0,,0,0,0,0,0,0,0,
,,Baker County,0,0,0,,0,0,0,0,0,0,0,
,,Bay County,0,0,0,,0,0,0,0,0,0,0,
,,Bradford County,0,0,0,,0,0,0,0,0,0,0,
,,Brevard County,0,0,0,,0,0,0,0,0,0,0,
,,Broward County,0,0,0,,0,0,0,0,0,0,0,
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0,
,,Charlotte County,0,0,0,,0,0,0,0,0,0,0,
,,Citrus County,0,0,0,,0,0,0,0,0,0,0,
,,Clay County,0,0,0,,0,0,0,0,0,0,0,
,,Collier County,0,0,0,,0,0,0,0,0,0,0,
,,Columbia County,0,0,0,,0,0,0,0,0,0,0,
,,DeSoto County,0,0,0,,0,0,0,0,0,0,0,
,,Dixie County,0,0,0,,0,0,0,0,0,0,0,
,,Duval County,0,0,0,,0,0,0,0,0,0,0,
,,Escambia County,0,0,0,,0,0,0,0,0,0,0,
,,Flagler County,0,0,0,,0,0,0,0,0,0,0,
,,Franklin County,0,0,0,,0,0,0,0,0,0,0,
,,Gadsden County,0,0,0,,0,0,0,0,0,0,0,
,,Gilchrist County,0,0,0,,0,0,0,0,0,0,0,
,,Glades County,0,0,0,,0,0,0,0,0,0,0,
,,Gulf County,0,0,0,,0,0,0,0,0,0,0,
,,Hamilton County,0,0,0,,0,0,0,0,0,0,0,
,,Hardee County,0,0,0,,0,0,0,0,0,0,0,
,,Hendry County,0,0,0,,0,0,0,0,0,0,0,
,,Hernando County,0,0,0,,0,0,0,0,0,0,0,
,,Highlands County,0,0,0,,0,0,0,0,0,0,0,
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0,
,,Holmes County,0,0,0,,0,0,0,0,0,0,0,
,,Indian River County,0,0,0,,0,0,0,0,0,0,0,
,,Jackson County,0,0,0,,0,0,0,0,0,0,0,
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0,
,,Lafayette County,0,0,0,,0,0,0,0,0,0,0,
,,Lake County,0,0,0,,0,0,0,0,0,0,0,
,,Lee County,0,0,0,,0,0,0,0,0,0,0,
,,Leon County,0,0,0,,0,0,0,0,0,0,0,
,,Levy County,0,0,0,,0,0,0,0,0,0,0,
,,Liberty County,0,0,0,,0,0,0,0,0,0,0,
,,Madison County,0,0,0,,0,0,0,0,0,0,0,
,,Manatee County,0,0,0,,0,0,0,0,0,0,0,
,,Marion County,0,0,0,,0,0,0,0,0,0,0,
,,Martin County,0,0,0,,0,0,0,0,0,0,0,
,,Miami-Dade County,0,0,0,,0,0,0,0,0,0,0,
,,Monroe County,0,0,0,,0,0,0,0,0,0,0,
,,Nassau County,0,0,0,,0,0,0,0,0,0,0,
,,Okaloosa County,0,0,0,,0,0,0,0,0,0,0,
,,Okeechobee County,0,0,0,,0,0,0,0,0,0,0,
,,Orange County,0,0,0,,0,0,0,0,0,0,0,
,,Osceola County,0,0,0,,0,0,0,0,0,0,0,
,,Palm Beach County,0,0,0,,0,0,0,0,0,0,0,
,,Pasco County,0,0,0,,0,0,0,0,0,0,0,
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0,
,,Polk County,0,0,0,,0,0,0,0,0,0,0,
,,Putnam County,0,0,0,,0,0,0,0,0,0,0,
,,Santa Rosa County,0,0,0,,0,0,0,0,0,0,0,
,,Sarasota County,0,0,0,,0,0,0,0,0,0,0,
,,Seminole County,0,0,0,,0,0,0,0,0,0,0,
,,St. Johns County,0,0,0,,0,0,0,0,0,0,0,
,,St. Lucie County,0,0,0,,0,0,0,0,0,0,0,
,,Sumter County,0,0,0,,0,0,0,0,0,0,0,
,,Suwannee County,0,0,0,,0,0,0,0,0,0,0,
,,Taylor County,0,0,0,,0,0,0,0,0,0,0,
,,Union County,0,0,0,,0,0,0,0,0,0,0,
,,Volusia County,0,0,0,,0,0,0,0,0,0,0,
,,Wakulla County,0,0,0,,0,0,0,0,0,0,0,
,,Walton County,0,0,0,,0,0,0,0,0,0,0,
,,Washington County,0,0,0,,0,0,0,0,0,0,0,
,Florida Game Commission: ,Alachua County,0,0,0,,0,0,0,0,0,0,0,
,,Baker County,0,0,0,,0,0,0,0,0,0,0,
,,Bay County,0,0,0,,0,0,0,0,0,0,0,
,,Bradford County,0,0,0,,0,0,0,0,0,0,0,
,,Brevard County,0,0,0,,0,0,0,0,0,0,0,
,,Broward County,0,0,0,,0,0,0,0,0,0,0,
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0,
,,Charlotte County,0,0,0,,0,0,0,0,0,0,0,
,,Citrus County,0,0,0,,0,0,0,0,0,0,0,
,,Clay County,0,0,0,,0,0,0,0,0,0,0,
,,Collier County,0,0,0,,0,0,0,0,0,0,0,
,,Columbia County,0,0,0,,0,0,0,0,0,0,0,
,,DeSoto County,0,0,0,,0,0,0,0,0,0,0,
,,Dixie County,0,0,0,,0,0,0,0,0,0,0,
,,Duval County,0,0,0,,0,0,0,0,0,0,0,
,,Escambia County,0,0,0,,0,0,0,0,0,0,0,
,,Flagler County,0,0,0,,0,0,0,0,0,0,0,
,,Franklin County,0,0,0,,0,0,0,0,0,0,0,
,,Gadsden County,0,0,0,,0,0,0,0,0,0,0,
,,Gilchrist County,0,0,0,,0,0,0,0,0,0,0,
,,Glades County,0,0,0,,0,0,0,0,0,0,0,
,,Gulf County,0,0,0,,0,0,0,0,0,0,0,
,,Hamilton County,0,0,0,,0,0,0,0,0,0,0,
,,Hardee County,0,0,0,,0,0,0,0,0,0,0,
,,Hendry County,0,0,0,,0,0,0,0,0,0,0,
,,Hernando County,0,0,0,,0,0,0,0,0,0,0,
,,Highlands County,0,0,0,,0,0,0,0,0,0,0,
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0,
,,Holmes County,0,0,0,,0,0,0,0,0,0,0,
,,Indian River County,0,0,0,,0,0,0,0,0,0,0,
,,Jackson County,0,0,0,,0,0,0,0,0,0,0,
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0,
,,Lafayette County,0,0,0,,0,0,0,0,0,0,0,
,,Lake County,0,0,0,,0,0,0,0,0,0,0,
,,Lee County,0,0,0,,0,0,0,0,0,0,0,
,,Leon County,0,0,0,,0,0,0,0,0,0,0,
